time,is_openpilot_engaged,target position,LeadingVPosition,currentspeed,currentVelocity,current_Steer,old_Steer,steer_rate_limit,leftLaneProb,rightLaneProb,desiredPathProb,HasLead,DistanceToLead,specifyCruise,awarenessStatus
03:25:54,False,"Location(x=-514.229675, y=177.520950, z=0.001447)","Location(x=-514.451843, y=197.199280, z=0.001669)",0,"Vector3D(x=0.000000, y=0.000000, z=0.000000)",0,0,0.5,0,0,0,False,19.6795845031738,cruise,0
03:25:56,False,"Location(x=-514.229675, y=177.520950, z=0.001447)","Location(x=-514.498779, y=198.965424, z=0.001564)",0,"Vector3D(x=0.000000, y=0.000000, z=0.000000)",0,0,0.5,0,0,0,False,21.4461612701416,cruise,1
03:25:58,True,"Location(x=-514.229675, y=177.520950, z=0.001447)","Location(x=-514.739624, y=207.840820, z=0.001693)",0,"Vector3D(x=0.000000, y=0.000000, z=0.000000)",0,0,0.5,0,0,0,False,30.3241577148437,cruise,1
03:25:59,True,"Location(x=-514.229675, y=177.520950, z=0.001673)","Location(x=-515.071899, y=219.672821, z=0.001731)",0.0001853055745,"Vector3D(x=-0.000000, y=-0.000000, z=0.000083)",0.505,0.505,0.5,0.309,0.384,0.497,False,42.1602821350098,cruise,1
03:26:00,True,"Location(x=-514.229675, y=177.520950, z=0.001735)","Location(x=-515.338196, y=230.031250, z=0.001752)",0.001383412746497,"Vector3D(x=0.000000, y=-0.000000, z=-0.000618)",0.507,0.507,0.5,0.278,0.355,0.491,False,52.5219993591309,cruise,1
03:26:01,True,"Location(x=-514.248718, y=179.901688, z=0.001704)","Location(x=-515.432312, y=242.608963, z=0.001770)",5.50628731139354,"Vector3D(x=-0.025748, y=2.461392, z=0.000204)",-3.697,-3.708,0.5,0.453,0.492,0.681,True,62.7184448242187,cruise,1
03:26:03,True,"Location(x=-514.291321, y=183.580841, z=0.001638)","Location(x=-514.793213, y=256.691193, z=0.001807)",8.42373420575797,"Vector3D(x=-0.049045, y=3.765420, z=-0.000688)",-1.796,-1.825,0.5,0.53,0.628,0.642,True,73.1120758056641,cruise,1
03:26:04,True,"Location(x=-514.360840, y=188.393280, z=0.001642)","Location(x=-513.147400, y=270.313232, z=0.001830)",10.9306447560305,"Vector3D(x=-0.082705, y=4.885727, z=0.002097)",-2.572,-2.572,0.5,0.669,0.733,0.68,False,81.9289398193359,cruise,1
03:26:05,True,"Location(x=-514.488525, y=194.942978, z=0.001770)","Location(x=-510.285156, y=284.782257, z=0.001832)",13.59594556196,"Vector3D(x=-0.133846, y=6.076447, z=-0.000001)",-1.809,-1.826,0.5,0.753,0.816,0.895,False,89.9375610351563,cruise,1
03:26:06,True,"Location(x=-514.676453, y=202.904800, z=0.001764)","Location(x=-506.317688, y=299.094452, z=0.001832)",16.1714357216659,"Vector3D(x=-0.179209, y=7.227045, z=-0.000000)",-0.461,-0.418,0.5,0.828,0.85,0.937,False,96.5521545410156,cruise,1
03:26:07,True,"Location(x=-514.882751, y=211.117432, z=0.001765)","Location(x=-501.936462, y=311.435425, z=0.001832)",18.5511561274433,"Vector3D(x=-0.204508, y=8.290573, z=-0.000001)",0.792,0.792,0.5,0.84,0.954,0.993,False,101.149925231934,cruise,1
03:26:08,True,"Location(x=-515.101135, y=220.820419, z=0.001764)","Location(x=-496.528107, y=323.906921, z=0.001832)",20.9803174966926,"Vector3D(x=-0.177085, y=9.377354, z=-0.000001)",2.677,2.501,0.5,0.828,0.923,0.987,False,104.746284484863,cruise,1
03:26:09,True,"Location(x=-515.223145, y=231.456161, z=0.001761)","Location(x=-490.422699, y=335.698029, z=0.001832)",23.3941883191647,"Vector3D(x=-0.006740, y=10.458118, z=-0.000002)",5.203,5.203,0.5,0.894,0.813,0.98,False,107.151435852051,cruise,1
03:26:10,True,"Location(x=-515.079590, y=244.416931, z=0.001763)","Location(x=-482.845490, y=348.095276, z=0.001832)",25.9974940744814,"Vector3D(x=0.325852, y=11.617332, z=-0.000002)",9.925,9.727,0.5,0.946,0.914,0.995,False,108.57364654541,cruise,1
03:26:12,True,"Location(x=-514.276855, y=259.011292, z=0.001758)","Location(x=-474.194641, y=360.124481, z=0.001832)",28.6761166719547,"Vector3D(x=1.139871, y=12.768572, z=0.000000)",15.693,15.738,0.5,0.962,0.914,0.997,False,108.767921447754,cruise,1
03:26:13,True,"Location(x=-512.419312, y=273.786194, z=0.001768)","Location(x=-465.337128, y=370.712952, z=0.001832)",31.014095490885,"Vector3D(x=2.280960, y=13.675602, z=0.000002)",17.039,17.245,0.5,0.914,0.86,0.988,False,107.756797790527,cruise,1
03:26:14,True,"Location(x=-509.055878, y=289.710419, z=0.001803)","Location(x=-455.840759, y=380.569794, z=0.001832)",32.227873589311,"Vector3D(x=3.576821, y=13.956059, z=-0.000001)",17.623,17.63,0.5,0.833,0.803,0.967,False,105.889801025391,cruise,1
03:26:15,True,"Location(x=-504.364014, y=305.083099, z=0.001805)","Location(x=-445.316589, y=390.046631, z=0.001832)",33.0848408956562,"Vector3D(x=4.933716, y=13.943068, z=0.000000)",16.334,16.334,0.5,0.948,0.929,0.996,False,103.466903686523,cruise,1
03:26:16,True,"Location(x=-497.969482, y=320.947723, z=0.001810)","Location(x=-434.175781, y=398.709717, z=0.001832)",33.9805803189925,"Vector3D(x=6.310722, y=13.817769, z=0.000001)",16.641,16.586,0.5,0.849,0.905,0.986,False,100.581130981445,cruise,1
03:26:17,True,"Location(x=-489.502014, y=337.455963, z=0.001812)","Location(x=-421.698242, y=406.999756, z=0.001832)",34.6497593703754,"Vector3D(x=7.723732, y=13.426763, z=0.000001)",17.081,17.085,0.5,0.869,0.934,0.991,False,97.1271896362305,cruise,1
03:26:19,True,"Location(x=-479.434753, y=353.218323, z=0.001820)","Location(x=-408.696716, y=414.270630, z=0.001832)",34.9416461302216,"Vector3D(x=9.041747, y=12.737354, z=0.000002)",17.097,17.097,0.5,0.891,0.943,0.994,False,93.4411773681641,cruise,1
