time,is_openpilot_engaged,target position,LeadingVPosition,currentspeed,currentVelocity,current_Steer,old_Steer,steer_rate_limit,leftLaneProb,rightLaneProb,desiredPathProb,HasLead,DistanceToLead,specifyCruise,awarenessStatus
03:06:32,False,"Location(x=-514.229675, y=177.520950, z=0.001375)","Location(x=-514.452209, y=197.199280, z=0.001723)",0,"Vector3D(x=0.000000, y=0.000000, z=0.000000)",0,0,0.5,0,0,0,False,19.6795883178711,cruise,0
03:06:34,False,"Location(x=-514.229675, y=177.520950, z=0.001375)","Location(x=-514.494202, y=198.768478, z=0.001522)",0,"Vector3D(x=0.000000, y=0.000000, z=0.000000)",0,0,0.5,0,0,0,False,21.249174118042,cruise,1
03:06:35,False,"Location(x=-514.229675, y=177.520950, z=0.001375)","Location(x=-514.717407, y=207.014450, z=0.001691)",0,"Vector3D(x=0.000000, y=0.000000, z=0.000000)",0,0,0.5,0,0,0,False,29.4975318908691,cruise,1
03:06:37,False,"Location(x=-514.229675, y=177.520950, z=0.001375)","Location(x=-515.045715, y=218.720810, z=0.001729)",0,"Vector3D(x=0.000000, y=0.000000, z=0.000000)",0,0,0.5,0.231,0.332,0.212,False,41.2079391479492,cruise,1
03:06:38,True,"Location(x=-514.229675, y=177.520950, z=0.001693)","Location(x=-515.360535, y=231.102951, z=0.001755)",0.001771954214446,"Vector3D(x=0.000000, y=0.000000, z=-0.000792)",0.282,0.282,0.5,0.229,0.309,0.258,False,53.5939331054688,cruise,1
03:06:39,True,"Location(x=-514.234314, y=178.275681, z=0.001514)","Location(x=-515.437195, y=242.377228, z=0.001770)",5.33160887274154,"Vector3D(x=-0.015412, y=2.383389, z=0.000788)",-0.814,-0.814,0.5,0.145,0.208,0.3,False,64.1128311157227,cruise,1
03:06:40,True,"Location(x=-514.256653, y=181.013870, z=0.001708)","Location(x=-514.873840, y=255.624451, z=0.001803)",6.5910757964711,"Vector3D(x=-0.029810, y=2.946319, z=0.001120)",-2.945,-2.965,0.5,0.295,0.438,0.495,False,74.6131362915039,cruise,1
03:06:41,True,"Location(x=-514.307190, y=185.276031, z=0.001617)","Location(x=-513.163757, y=270.158752, z=0.001830)",9.38544385884023,"Vector3D(x=-0.058374, y=4.195256, z=0.000336)",-2.32,-2.339,0.5,0.382,0.522,0.588,False,84.8904190063477,cruise,1
03:06:42,True,"Location(x=-514.395447, y=190.733856, z=0.001818)","Location(x=-510.440613, y=284.102814, z=0.001833)",11.8804883439887,"Vector3D(x=-0.101520, y=5.310074, z=-0.000310)",-2.671,-2.699,0.5,0.536,0.605,0.639,False,93.4526824951172,cruise,1
03:06:44,True,"Location(x=-514.543640, y=197.685837, z=0.001767)","Location(x=-506.604553, y=298.166077, z=0.001833)",14.5174263271534,"Vector3D(x=-0.149649, y=6.488134, z=0.000000)",-0.91,-0.916,0.5,0.655,0.668,0.834,False,100.793388366699,cruise,1
03:06:45,True,"Location(x=-514.761230, y=206.777634, z=0.001763)","Location(x=-501.257965, y=313.107635, z=0.001833)",17.2825782595849,"Vector3D(x=-0.188544, y=7.723690, z=-0.000000)",-0.342,-0.348,0.5,0.793,0.791,0.957,False,107.183990478516,cruise,1
03:06:46,True,"Location(x=-514.979431, y=215.954666, z=0.001765)","Location(x=-495.658417, y=325.679199, z=0.001833)",19.6664691503605,"Vector3D(x=-0.195719, y=8.789505, z=0.000000)",1.262,1.234,0.5,0.871,0.858,0.982,False,111.412635803223,cruise,1
